Category,Temperature_C,Is_Package_Open,Spoilage_Days
Vegetables,-3.4,0,13
Meat_Poultry,4.6,0,7
Cooked_Meals,9.6,1,1
Meat_Poultry,24.6,1,1
Hard_Cheese,-0.2,0,32
Liquid_Dairy,-19.0,1,50
Meat_Poultry,-6.7,0,7
Liquid_Dairy,-12.4,1,47
Fruits,-14.4,0,238
Fermented_Dairy,13.1,0,3
Vegetables,-5.9,0,14
Fermented_Dairy,0.2,0,14
Meat_Poultry,-9.4,0,6
Liquid_Dairy,13.9,1,1
Fruits,5.8,0,11
Vegetables,18.7,0,6
Fermented_Dairy,-3.8,1,11
Cooked_Meals,-0.6,0,5
Hard_Cheese,-21.4,0,94
Vegetables,21.6,0,6
Cooked_Meals,23.9,0,1
Vegetables,13.9,0,3
Vegetables,9.9,0,8
Liquid_Dairy,17.3,0,1
Cooked_Meals,-15.3,1,46
Vegetables,14.5,1,2
Vegetables,14.2,1,2
Fruits,-8.9,1,11
Hard_Cheese,7.6,0,19
Fruits,-21.0,0,275
Fruits,-13.7,0,263
Liquid_Dairy,14.0,0,2
Liquid_Dairy,-24.0,1,51
Cooked_Meals,19.5,1,1
Liquid_Dairy,-9.8,0,11
Fermented_Dairy,14.6,1,2
Vegetables,-23.0,0,264
Liquid_Dairy,11.3,0,4
Vegetables,-0.6,0,16
Cooked_Meals,-10.7,0,98
Vegetables,-11.4,0,211
Meat_Poultry,6.4,1,2
Fermented_Dairy,-7.1,1,9
Liquid_Dairy,-12.9,0,103
Liquid_Dairy,5.9,0,8
Vegetables,11.1,0,6
Fruits,-11.9,0,229
Fermented_Dairy,-16.1,0,94
Hard_Cheese,12.9,0,9
Cooked_Meals,-21.2,1,43
Meat_Poultry,2.1,0,7
Liquid_Dairy,10.9,1,1
Hard_Cheese,6.2,1,23
Cooked_Meals,-21.0,0,92
Fruits,13.1,1,3
Meat_Poultry,-2.0,0,6
Liquid_Dairy,-17.4,1,44
Vegetables,20.2,0,6
Meat_Poultry,3.8,1,3
Vegetables,-24.7,0,268
Meat_Poultry,2.1,0,7
Fruits,-25.0,1,120
Liquid_Dairy,22.4,1,1
Fermented_Dairy,9.4,0,7
Fermented_Dairy,-8.6,0,14
Vegetables,-4.8,0,13
Cooked_Meals,13.2,0,1
Cooked_Meals,24.8,0,1
Cooked_Meals,-25.0,0,102
Liquid_Dairy,-3.6,0,11
Liquid_Dairy,0.2,0,9
Fruits,7.9,0,9
Liquid_Dairy,17.4,0,1
Liquid_Dairy,8.1,1,2
Cooked_Meals,6.4,0,3
Meat_Poultry,20.2,1,1
Liquid_Dairy,20.5,1,1
Fermented_Dairy,4.3,0,14
Fruits,11.2,1,4
Meat_Poultry,13.7,0,1
Cooked_Meals,20.4,1,1
Fermented_Dairy,-4.3,1,11
Fermented_Dairy,-8.3,0,13
Hard_Cheese,-3.4,1,31
Liquid_Dairy,22.7,1,1
Vegetables,8.2,0,8
Fermented_Dairy,-6.9,1,11
Liquid_Dairy,-17.3,0,95
Meat_Poultry,-19.0,0,171
Fruits,11.8,1,3
Vegetables,10.4,0,7
Hard_Cheese,4.1,0,32
Fermented_Dairy,-7.4,1,9
Liquid_Dairy,-10.1,1,50
Fruits,-15.7,0,216
Hard_Cheese,-0.9,0,29
Cooked_Meals,5.1,1,1
Cooked_Meals,1.7,0,4
Fermented_Dairy,13.0,0,4
Hard_Cheese,-0.6,0,34
Fermented_Dairy,-4.1,1,9
Cooked_Meals,-17.8,1,43
Liquid_Dairy,3.8,1,3
Liquid_Dairy,16.9,1,1
Liquid_Dairy,-12.3,0,103
Vegetables,-7.7,1,9
Cooked_Meals,-24.0,1,41
Meat_Poultry,-7.1,1,3
Cooked_Meals,12.8,0,1
Vegetables,6.1,0,10
Fermented_Dairy,-9.8,0,13
Hard_Cheese,20.6,1,3
Hard_Cheese,-23.0,1,52
Fruits,16.1,1,3
Fruits,10.5,1,5
Meat_Poultry,23.1,1,1
Vegetables,15.4,0,6
Vegetables,-23.5,1,118
Fruits,14.8,1,2
Fruits,-9.4,0,15
Liquid_Dairy,-3.3,1,3
Cooked_Meals,0.0,0,4
Meat_Poultry,1.0,0,7
Liquid_Dairy,21.8,0,1
Vegetables,4.2,0,15
Fruits,10.8,1,5
